,model,type,performance
0,model_0_0,full,1155.123019311698
1,model_0_1,full,1147.1614954262757
2,model_0_2,full,1127.1715332011174
3,model_0_3,full,1146.7599979558613
4,model_0_4,full,1154.5548149584517
5,model_1_0,full,1169.8741227303044
6,model_1_1,full,1145.8385158007206
7,model_1_2,full,1136.186572506789
8,model_1_3,full,1133.8926647167593
9,model_1_4,full,1145.3459007981705
10,model_2_0,full,1138.5681762490487
11,model_2_1,full,1140.571886022215
12,model_2_2,full,1137.4450839632336
13,model_2_3,full,1164.915706477101
14,model_2_4,full,1152.2145998562378
15,model_3_0,full,1139.4507628471179
16,model_3_1,full,1152.6221903220571
17,model_3_2,full,1141.3466059439174
18,model_3_3,full,1148.5842503239792
19,model_3_4,full,1152.232468881136
20,model_4_0,full,1144.7482640549474
21,model_4_1,full,1144.5564662306315
22,model_4_2,full,1137.9180033741045
23,model_4_3,full,1152.388861678159
24,model_4_4,full,1149.1265448466204
0,model_0_0,reduced,1151.6916740974311
1,model_0_1,reduced,1145.5626686825117
2,model_0_2,reduced,1123.0483617769476
3,model_0_3,reduced,1147.2300165653658
4,model_0_4,reduced,1151.018511278818
5,model_1_0,reduced,1161.0258623617315
6,model_1_1,reduced,1143.4984718264952
7,model_1_2,reduced,1135.373671777082
8,model_1_3,reduced,1134.1963957642697
9,model_1_4,reduced,1143.4014511532264
10,model_2_0,reduced,1138.5087092167564
11,model_2_1,reduced,1139.3443837465209
12,model_2_2,reduced,1135.1497671938264
13,model_2_3,reduced,1159.50440944967
14,model_2_4,reduced,1151.733177883348
15,model_3_0,reduced,1136.4361494127877
16,model_3_1,reduced,1151.3126076306223
17,model_3_2,reduced,1140.084176642428
18,model_3_3,reduced,1144.3123074091725
19,model_3_4,reduced,1151.4467342256955
20,model_4_0,reduced,1144.8125086997097
21,model_4_1,reduced,1140.2334194098896
22,model_4_2,reduced,1135.9541945810565
23,model_4_3,reduced,1148.1347294697202
24,model_4_4,reduced,1146.9033260068495
