,var,imp
0,cat1,1743
1,cat2,1657
2,cat3,265
3,cat4,1599
4,cat5,1682
5,cat6,1220
6,cat7,177
7,cat8,212
8,cat9,1832
9,cat10,750
10,cat11,533
11,cat12,738
12,cat13,560
13,cat14,40
14,cat15,0
15,cat16,159
16,cat17,39
17,cat18,18
18,cat19,28
19,cat20,0
20,cat21,57
21,cat22,0
22,cat23,886
23,cat24,166
24,cat25,557
25,cat26,511
26,cat27,705
27,cat28,166
28,cat29,128
29,cat30,149
30,cat31,275
31,cat32,60
32,cat33,34
33,cat34,20
34,cat35,0
35,cat36,951
36,cat37,840
37,cat38,706
38,cat39,247
39,cat40,214
40,cat41,209
41,cat42,106
42,cat43,119
43,cat44,554
44,cat45,112
45,cat46,13
46,cat47,22
47,cat48,0
48,cat49,383
49,cat50,1231
50,cat51,65
51,cat52,296
52,cat53,617
53,cat54,216
54,cat55,0
55,cat56,0
56,cat57,270
57,cat58,0
58,cat59,0
59,cat60,37
60,cat61,72
61,cat62,0
62,cat63,0
63,cat64,0
64,cat65,103
65,cat66,172
66,cat67,84
67,cat68,0
68,cat69,0
69,cat70,0
70,cat71,35
71,cat72,2781
72,cat73,1243
73,cat74,123
74,cat75,994
75,cat76,270
76,cat77,86
77,cat78,79
78,cat79,1412
79,cat80,1665
80,cat81,1820
81,cat82,2130
82,cat83,2106
83,cat84,1295
84,cat85,101
85,cat86,361
86,cat87,1194
87,cat88,194
88,cat89,177
89,cat90,327
90,cat91,4493
91,cat92,1228
92,cat93,1324
93,cat94,1711
94,cat95,817
95,cat96,143
96,cat97,1921
97,cat98,509
98,cat99,3931
99,cat100,21594
100,cat101,11600
101,cat102,524
102,cat103,5660
103,cat104,8417
104,cat105,6564
105,cat106,10990
106,cat107,14993
107,cat108,7362
108,cat109,2849
109,cat110,31912
110,cat111,4798
111,cat112,36331
112,cat113,30199
113,cat114,6236
114,cat115,15687
115,cat116,36613
116,cont1,8263
117,cont2,8594
118,cont3,6919
119,cont4,6029
120,cont5,9462
121,cont6,8950
122,cont7,13653
123,cont8,8043
124,cont9,6228
125,cont10,6517
126,cont11,6783
127,cont12,5720
128,cont13,7170
129,cont14,22259
