,model,type,var,importance
0,model_0_0,nested_full,cat1,1304
1,model_0_0,nested_full,cat2,1235
2,model_0_0,nested_full,cat3,683
3,model_0_0,nested_full,cat4,1048
4,model_0_0,nested_full,cat5,1189
5,model_0_0,nested_full,cat6,904
6,model_0_0,nested_full,cat7,492
7,model_0_0,nested_full,cat8,727
8,model_0_0,nested_full,cat9,1167
9,model_0_0,nested_full,cat10,863
10,model_0_0,nested_full,cat11,871
11,model_0_0,nested_full,cat12,1007
12,model_0_0,nested_full,cat13,909
13,model_0_0,nested_full,cat14,170
14,model_0_0,nested_full,cat15,0
15,model_0_0,nested_full,cat16,454
16,model_0_0,nested_full,cat17,179
17,model_0_0,nested_full,cat18,119
18,model_0_0,nested_full,cat19,154
19,model_0_0,nested_full,cat20,8
20,model_0_0,nested_full,cat21,149
21,model_0_0,nested_full,cat22,35
22,model_0_0,nested_full,cat23,1060
23,model_0_0,nested_full,cat24,656
24,model_0_0,nested_full,cat25,951
25,model_0_0,nested_full,cat26,763
26,model_0_0,nested_full,cat27,851
27,model_0_0,nested_full,cat28,651
28,model_0_0,nested_full,cat29,419
29,model_0_0,nested_full,cat30,528
30,model_0_0,nested_full,cat31,521
31,model_0_0,nested_full,cat32,121
32,model_0_0,nested_full,cat33,182
33,model_0_0,nested_full,cat34,65
34,model_0_0,nested_full,cat35,14
35,model_0_0,nested_full,cat36,1195
36,model_0_0,nested_full,cat37,912
37,model_0_0,nested_full,cat38,916
38,model_0_0,nested_full,cat39,736
39,model_0_0,nested_full,cat40,661
40,model_0_0,nested_full,cat41,691
41,model_0_0,nested_full,cat42,187
42,model_0_0,nested_full,cat43,328
43,model_0_0,nested_full,cat44,784
44,model_0_0,nested_full,cat45,406
45,model_0_0,nested_full,cat46,136
46,model_0_0,nested_full,cat47,55
47,model_0_0,nested_full,cat48,29
48,model_0_0,nested_full,cat49,468
49,model_0_0,nested_full,cat50,895
50,model_0_0,nested_full,cat51,152
51,model_0_0,nested_full,cat52,440
52,model_0_0,nested_full,cat53,726
53,model_0_0,nested_full,cat54,237
54,model_0_0,nested_full,cat55,20
55,model_0_0,nested_full,cat56,25
56,model_0_0,nested_full,cat57,474
57,model_0_0,nested_full,cat58,20
58,model_0_0,nested_full,cat59,44
59,model_0_0,nested_full,cat60,88
60,model_0_0,nested_full,cat61,122
61,model_0_0,nested_full,cat62,0
62,model_0_0,nested_full,cat63,18
63,model_0_0,nested_full,cat64,4
64,model_0_0,nested_full,cat65,218
65,model_0_0,nested_full,cat66,551
66,model_0_0,nested_full,cat67,123
67,model_0_0,nested_full,cat68,26
68,model_0_0,nested_full,cat69,11
69,model_0_0,nested_full,cat70,0
70,model_0_0,nested_full,cat71,152
71,model_0_0,nested_full,cat72,1766
72,model_0_0,nested_full,cat73,1123
73,model_0_0,nested_full,cat74,234
74,model_0_0,nested_full,cat75,1148
75,model_0_0,nested_full,cat76,813
76,model_0_0,nested_full,cat77,171
77,model_0_0,nested_full,cat78,243
78,model_0_0,nested_full,cat79,2188
79,model_0_0,nested_full,cat80,1870
80,model_0_0,nested_full,cat81,2615
81,model_0_0,nested_full,cat82,1021
82,model_0_0,nested_full,cat83,924
83,model_0_0,nested_full,cat84,1634
84,model_0_0,nested_full,cat85,299
85,model_0_0,nested_full,cat86,629
86,model_0_0,nested_full,cat87,2315
87,model_0_0,nested_full,cat88,311
88,model_0_0,nested_full,cat89,164
89,model_0_0,nested_full,cat90,253
90,model_0_0,nested_full,cat91,1554
91,model_0_0,nested_full,cat92,305
92,model_0_0,nested_full,cat93,517
93,model_0_0,nested_full,cat94,506
94,model_0_0,nested_full,cat95,194
95,model_0_0,nested_full,cat96,70
96,model_0_0,nested_full,cat97,537
