,model,type,performance
0,model_0_0,nested_full,1155.3257414651478
1,model_0_1,nested_full,1131.3312382495421
2,model_0_2,nested_full,1156.6871664856299
3,model_1_0,nested_full,1160.1441335758986
4,model_1_1,nested_full,1148.304123363669
5,model_1_2,nested_full,1143.1012106144835
6,model_2_0,nested_full,1145.4990369705388
7,model_2_1,nested_full,1142.0876991842074
8,model_2_2,nested_full,1165.1294875640347
0,model_0_0,nonnested,1155.5937507042036
1,model_0_1,nonnested,1131.5510219535443
2,model_0_2,nonnested,1159.4181447908443
3,model_1_0,nonnested,1158.2829266288595
4,model_1_1,nonnested,1144.3339184197478
5,model_1_2,nonnested,1143.9545072161804
6,model_2_0,nonnested,1144.7883445489867
7,model_2_1,nonnested,1142.595885823739
8,model_2_2,nonnested,1159.1615957443562
